age,workclass,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
65+,?,HS-grad,9,Widowed,?,Not-in-family,White,Female,None,Very High,40,United-States,<=50K
65+,Private,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,None,Very High,18,United-States,<=50K
65+,?,Some-college,10,Widowed,?,Unmarried,Black,Female,None,Very High,40,United-States,<=50K
45-54,Private,7th-8th,4,Divorced,Machine-op-inspct,Unmarried,White,Female,None,Very High,40,United-States,<=50K
35-44,Private,Some-college,10,Separated,Prof-specialty,Own-child,White,Female,None,Very High,40,United-States,<=50K
25-34,Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,None,Very High,45,United-States,<=50K
35-44,Private,10th,6,Separated,Adm-clerical,Unmarried,White,Male,None,Very High,40,United-States,<=50K
65+,State-gov,Doctorate,16,Never-married,Prof-specialty,Other-relative,White,Female,None,Very High,20,United-States,>50K
65+,Federal-gov,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,None,Very High,40,United-States,<=50K
35-44,Private,Some-college,10,Never-married,Craft-repair,Unmarried,White,Male,None,Very High,60,?,>50K
45-54,Private,Doctorate,16,Divorced,Prof-specialty,Unmarried,Black,Female,None,Very High,35,United-States,>50K
35-44,Self-emp-not-inc,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,None,Very High,45,United-States,>50K
45-54,Private,Bachelors,13,Widowed,Other-service,Not-in-family,White,Female,None,Very High,20,United-States,>50K
25-34,Private,Masters,14,Separated,Exec-managerial,Not-in-family,White,Male,None,Very High,55,United-States,>50K
45-54,?,Doctorate,16,Never-married,?,Not-in-family,White,Male,None,Very High,40,United-States,>50K
45-54,Private,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Male,None,Very High,40,United-States,>50K
45-54,Private,11th,7,Divorced,Transport-moving,Not-in-family,White,Male,None,Very High,76,United-States,>50K
55-64,Private,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,None,Very High,50,United-States,>50K
19-24,Private,Assoc-acdm,12,Never-married,Handlers-cleaners,Not-in-family,Black,Male,None,Very High,40,?,>50K
25-34,Private,Bachelors,13,Separated,Sales,Not-in-family,White,Male,None,Very High,50,United-States,>50K
35-44,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,None,Very High,40,United-States,>50K
25-34,Private,11th,7,Separated,Sales,Not-in-family,White,Female,None,Very High,42,United-States,<=50K
55-64,Private,HS-grad,9,Divorced,Sales,Unmarried,White,Female,None,Very High,25,United-States,<=50K
45-54,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,None,Very High,40,United-States,<=50K
55-64,?,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,None,Very High,32,United-States,<=50K
19-24,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,None,Very High,40,United-States,<=50K
25-34,Private,1st-4th,2,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,None,Very High,32,Mexico,<=50K
45-54,Private,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,None,Very High,40,Greece,<=50K
35-44,Self-emp-inc,10th,6,Never-married,Transport-moving,Not-in-family,White,Male,None,Very High,50,United-States,>50K
35-44,Private,10th,6,Never-married,Prof-specialty,Not-in-family,White,Male,None,Very High,90,United-States,>50K
19-24,Private,Some-college,10,Separated,Other-service,Not-in-family,White,Male,None,Very High,40,United-States,>50K
55-64,Self-emp-inc,10th,6,Widowed,Exec-managerial,Unmarried,White,Female,None,Very High,50,United-States,>50K
45-54,Private,Prof-school,15,Divorced,Exec-managerial,Not-in-family,White,Male,None,Very High,60,United-States,>50K
45-54,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,None,Very High,50,United-States,>50K
55-64,Self-emp-not-inc,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Black,Male,None,Very High,50,United-States,>50K
55-64,Federal-gov,Doctorate,16,Divorced,Exec-managerial,Not-in-family,White,Female,None,Very High,60,United-States,>50K
45-54,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,None,Very High,48,United-States,>50K
45-54,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,None,Very High,50,United-States,>50K
35-44,Self-emp-not-inc,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,None,Very High,60,United-States,>50K
45-54,Private,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,None,Very High,40,United-States,>50K
35-44,Private,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,None,Very High,50,United-States,>50K
35-44,Private,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,None,Very High,40,United-States,>50K
45-54,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,None,Very High,40,United-States,>50K
35-44,Private,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,None,Very High,40,United-States,>50K
65+,?,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,None,High,15,United-States,<=50K
45-54,Private,Bachelors,13,Married-spouse-absent,Sales,Unmarried,White,Female,None,High,70,United-States,>50K
65+,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,None,High,52,United-States,<=50K
65+,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,None,High,40,Vietnam,<=50K
65+,?,Some-college,10,Married-civ-spouse,?,Wife,White,Female,None,High,40,United-States,<=50K
65+,?,Some-college,10,Married-civ-spouse,?,Husband,White,Male,None,High,40,United-States,<=50K
35-44,Self-emp-not-inc,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,None,High,45,United-States,>50K
45-54,Private,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,None,High,72,United-States,>50K
45-54,State-gov,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Male,None,High,39,United-States,>50K
