Agency_Text,Sex_Code_Text,Ethnic_Code_Text,AgeGroup,ScaleSet,AssessmentReason,Language,LegalStatus,CustodyStatus,MaritalStatus,RecSupervisionLevelText,DisplayText,DecileScore,ScoreText,AssessmentType
PRETRIAL,Male,Caucasian,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Violence,4,Low,New
PRETRIAL,Male,Caucasian,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Recidivism,2,Low,New
PRETRIAL,Male,Caucasian,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Failure to Appear,1,Low,New
PRETRIAL,Male,Caucasian,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Married,Low,Risk of Violence,2,Low,New
PRETRIAL,Male,Caucasian,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Married,Low,Risk of Recidivism,1,Low,New
PRETRIAL,Male,Caucasian,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Married,Low,Risk of Failure to Appear,3,Low,New
PRETRIAL,Male,African-American,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,High,Risk of Violence,8,High,New
PRETRIAL,Male,African-American,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,High,Risk of Recidivism,8,High,New
PRETRIAL,Male,African-American,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,High,Risk of Failure to Appear,1,Low,New
PRETRIAL,Female,African-American,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Significant Other,Medium,Risk of Violence,7,Medium,New
PRETRIAL,Female,African-American,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Significant Other,Medium,Risk of Recidivism,6,Medium,New
PRETRIAL,Female,African-American,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Significant Other,Medium,Risk of Failure to Appear,1,Low,New
PRETRIAL,Female,African-American,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Violence,2,Low,New
PRETRIAL,Female,African-American,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Recidivism,2,Low,New
PRETRIAL,Female,African-American,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Failure to Appear,2,Low,New
PRETRIAL,Male,Hispanic,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium with Override Consideration,Risk of Violence,7,Medium,New
PRETRIAL,Male,Hispanic,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium with Override Consideration,Risk of Recidivism,10,High,New
PRETRIAL,Male,Hispanic,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium with Override Consideration,Risk of Failure to Appear,6,Medium,New
PRETRIAL,Female,Caucasian,42-50,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Violence,1,Low,New
PRETRIAL,Female,Caucasian,42-50,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Recidivism,1,Low,New
PRETRIAL,Female,Caucasian,42-50,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Failure to Appear,3,Low,New
PRETRIAL,Male,African-American,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium with Override Consideration,Risk of Violence,7,Medium,New
PRETRIAL,Male,African-American,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium with Override Consideration,Risk of Recidivism,9,High,New
PRETRIAL,Male,African-American,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium with Override Consideration,Risk of Failure to Appear,3,Low,New
PRETRIAL,Male,Other,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Married,Low,Risk of Violence,1,Low,New
PRETRIAL,Male,Other,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Married,Low,Risk of Recidivism,2,Low,New
PRETRIAL,Male,Other,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Married,Low,Risk of Failure to Appear,2,Low,New
PRETRIAL,Male,Caucasian,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Violence,2,Low,New
PRETRIAL,Male,Caucasian,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Recidivism,2,Low,New
PRETRIAL,Male,Caucasian,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Failure to Appear,1,Low,New
PRETRIAL,Male,African-American,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium with Override Consideration,Risk of Violence,9,High,New
PRETRIAL,Male,African-American,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium with Override Consideration,Risk of Recidivism,7,Medium,New
PRETRIAL,Male,African-American,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium with Override Consideration,Risk of Failure to Appear,1,Low,New
PRETRIAL,Male,Caucasian,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Violence,1,Low,New
PRETRIAL,Male,Caucasian,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Recidivism,1,Low,New
PRETRIAL,Male,Caucasian,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Failure to Appear,3,Low,New
PRETRIAL,Female,Caucasian,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Married,Low,Risk of Violence,1,Low,New
PRETRIAL,Female,Caucasian,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Married,Low,Risk of Recidivism,1,Low,New
PRETRIAL,Female,Caucasian,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Married,Low,Risk of Failure to Appear,1,Low,New
PRETRIAL,Female,African-American,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Violence,3,Low,New
PRETRIAL,Female,African-American,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Recidivism,4,Low,New
PRETRIAL,Female,African-American,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Failure to Appear,1,Low,New
PRETRIAL,Female,African-American,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium,Risk of Violence,4,Low,New
PRETRIAL,Female,African-American,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium,Risk of Recidivism,6,Medium,New
PRETRIAL,Female,African-American,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium,Risk of Failure to Appear,3,Low,New
PRETRIAL,Male,African-American,42-50,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Married,Low,Risk of Violence,1,Low,New
PRETRIAL,Male,African-American,42-50,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Married,Low,Risk of Recidivism,1,Low,New
PRETRIAL,Male,African-American,42-50,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Married,Low,Risk of Failure to Appear,3,Low,New
PRETRIAL,Male,Caucasian,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Violence,3,Low,New
PRETRIAL,Male,Caucasian,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Recidivism,2,Low,New
PRETRIAL,Male,Caucasian,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Failure to Appear,1,Low,New
PRETRIAL,Male,Caucasian,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Violence,4,Low,New
PRETRIAL,Male,Caucasian,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Recidivism,5,Medium,New
PRETRIAL,Male,Caucasian,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Failure to Appear,3,Low,New
Probation,Male,Caucasian,26-32,Risk and Prescreen,Intake,English,Post Sentence,Probation,Single,Low,Risk of Violence,1,Low,New
Probation,Male,Caucasian,26-32,Risk and Prescreen,Intake,English,Post Sentence,Probation,Single,Low,Risk of Recidivism,3,Low,New
Probation,Male,Caucasian,26-32,Risk and Prescreen,Intake,English,Post Sentence,Probation,Single,Low,Risk of Failure to Appear,1,Low,New
PRETRIAL,Male,African-American,33-41,Risk and Prescreen,Intake,English,Post Sentence,Probation,Single,Low,Risk of Violence,1,Low,New
PRETRIAL,Male,African-American,33-41,Risk and Prescreen,Intake,English,Post Sentence,Probation,Single,Low,Risk of Recidivism,1,Low,New
PRETRIAL,Male,African-American,33-41,Risk and Prescreen,Intake,English,Post Sentence,Probation,Single,Low,Risk of Failure to Appear,1,Low,New
PRETRIAL,Male,African-American,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Married,Medium,Risk of Violence,4,Low,New
PRETRIAL,Male,African-American,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Married,Medium,Risk of Recidivism,7,Medium,New
PRETRIAL,Male,African-American,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Married,Medium,Risk of Failure to Appear,3,Low,New
PRETRIAL,Male,Other,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,High,Risk of Violence,9,High,Copy
PRETRIAL,Male,Other,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,High,Risk of Recidivism,10,High,Copy
PRETRIAL,Male,Other,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,High,Risk of Failure to Appear,3,Low,Copy
PRETRIAL,Female,Caucasian,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Violence,2,Low,New
PRETRIAL,Female,Caucasian,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Recidivism,4,Low,New
PRETRIAL,Female,Caucasian,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Failure to Appear,1,Low,New
PRETRIAL,Male,Caucasian,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Violence,3,Low,New
PRETRIAL,Male,Caucasian,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Recidivism,2,Low,New
PRETRIAL,Male,Caucasian,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Failure to Appear,2,Low,New
PRETRIAL,Female,African-American,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Violence,1,Low,New
PRETRIAL,Female,African-American,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Recidivism,1,Low,New
PRETRIAL,Female,African-American,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Failure to Appear,1,Low,New
PRETRIAL,Male,African-American,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,High,Risk of Violence,10,High,New
PRETRIAL,Male,African-American,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,High,Risk of Recidivism,9,High,New
PRETRIAL,Male,African-American,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,High,Risk of Failure to Appear,8,High,New
Probation,Male,Caucasian,33-41,Risk and Prescreen,Intake,English,Post Sentence,Probation,Single,Medium,Risk of Violence,2,Low,New
Probation,Male,Caucasian,33-41,Risk and Prescreen,Intake,English,Post Sentence,Probation,Single,Medium,Risk of Recidivism,7,Medium,New
Probation,Male,Caucasian,33-41,Risk and Prescreen,Intake,English,Post Sentence,Probation,Single,Medium,Risk of Failure to Appear,4,Low,New
Probation,Male,African-American,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium with Override Consideration,Risk of Violence,5,Medium,New
