threshold_rate,tau,ell,runtime_sec,num_mups,num_patterns_to_hit,num_output_tuples,mup_runtime_sec
1e-06,1,3,0.6137197999923956,2250,1261,252,0.15018170000985265
1e-06,1,4,36.546773299982306,2250,9719,2127,0.15018170000985265
1e-06,1,5,432.0849749999761,2250,27111,11775,0.15018170000985265
1e-06,1,6,1073.386562300002,2250,24413,24413,0.15018170000985265
1e-05,1,3,0.9752013000252191,2250,1261,252,0.3358546999807004
1e-05,1,4,26.795032900001388,2250,9719,2127,0.3358546999807004
1e-05,1,5,383.03886260002037,2250,27111,11775,0.3358546999807004
1e-05,1,6,1068.781660800014,2250,24413,24413,0.3358546999807004
0.0001,4,3,1.9489373000105843,2319,1779,309,0.16268999999738298
0.0001,4,4,45.35670860001119,2319,12146,2440,0.16268999999738298
0.0001,4,5,499.48531899999944,2319,30483,12682,0.16268999999738298
0.0001,4,6,1202.8144868999952,2319,25744,25744,0.16268999999738298
0.001,33,3,2.8126647000026423,1262,2781,405,0.08330739999655634
0.001,33,4,67.45474809998996,1262,14746,2705,0.08330739999655634
0.001,33,5,567.2140714999987,1262,32694,13160,0.08330739999655634
0.001,33,6,1260.5646523000032,1262,26326,26326,0.08330739999655634
0.01,326,3,5.488359599985415,447,3622,466,0.06133060000138357
0.01,326,4,71.07134600001154,447,15936,2803,0.06133060000138357
0.01,326,5,592.1449116999866,447,33328,13268,0.06133060000138357
0.01,326,6,1278.8839162999939,447,26446,26446,0.06133060000138357
