dimensions,max_level,tau,n,runtime,num_mups
2,2,50,50000,0.0035657999105751514,0
2,4,50,50000,0.00319859990850091,0
2,6,50,50000,0.003735099919140339,0
2,8,50,50000,0.0035460996441543102,0
4,2,50,50000,0.004208799917250872,0
4,4,50,50000,0.003911399748176336,0
4,6,50,50000,0.004090100061148405,0
4,8,50,50000,0.0038234000094234943,0
6,2,50,50000,0.005728899966925383,0
6,4,50,50000,0.01688869995996356,88
6,6,50,50000,0.05190390022471547,1832
6,8,50,50000,0.05152629967778921,1832
8,2,50,50000,0.08385509997606277,0
8,4,50,50000,1.5007553999312222,2116
8,6,50,50000,14.737751699984074,46016
8,8,50,50000,14.71061890013516,46055
